1,14;23:11:02;03/04/2026
1,04;23:10:44;03/04/2026
1,47;23:10:44;03/04/2026
1,95;23:10:29;03/04/2026
1,04;23:10:29;03/04/2026
1,95;23:10:08;03/04/2026
2,35;23:09:46;03/04/2026
1,54;23:09:27;03/04/2026
8,48;23:08:49;03/04/2026
4,08;23:08:17;03/04/2026
4,89;23:08:17;03/04/2026
2,74;23:07:46;03/04/2026
4,08;23:07:46;03/04/2026
2,74;23:07:20;03/04/2026
1,02;23:06:48;03/04/2026
4,34;23:06:48;03/04/2026
1,02;23:06:34;03/04/2026
3,70;23:06:04;03/04/2026
1,08;23:05:50;03/04/2026
1,00;23:05:33;03/04/2026
1,19;23:05:33;03/04/2026
1,00;23:05:20;03/04/2026
1,80;23:04:58;03/04/2026
3,43;23:04:29;03/04/2026
2,19;23:04:03;03/04/2026
1,00;23:03:50;03/04/2026
2,65;23:03:25;03/04/2026
1,64;23:03:07;03/04/2026
3,01;23:02:38;03/04/2026
430,14;23:01:11;03/04/2026
1,35;23:00:55;03/04/2026
8,97;23:00:14;03/04/2026
11,29;22:59:32;03/04/2026
1,87;22:59:12;03/04/2026
1,26;22:58:58;03/04/2026
1,51;22:58:40;03/04/2026
1,08;22:58:26;03/04/2026
115,25;22:57:17;03/04/2026
1,13;22:57:02;03/04/2026
1,13;22:56:46;03/04/2026
1,08;22:56:31;03/04/2026
1,12;22:56:17;03/04/2026
1,99;22:55:54;03/04/2026
8,63;22:55:14;03/04/2026
1,60;22:54:55;03/04/2026
1,62;22:54:34;03/04/2026
2,04;22:54:13;03/04/2026
1,00;22:53:56;03/04/2026
1,06;22:53:56;03/04/2026
1,00;22:53:42;03/04/2026
26,91;22:52:50;03/04/2026
8,84;22:51:59;03/04/2026
24,73;22:51:59;03/04/2026
8,84;22:51:17;03/04/2026
1,40;22:50:59;03/04/2026
10,94;22:50:16;03/04/2026
1,47;22:49:58;03/04/2026
1,66;22:49:37;03/04/2026
2,93;22:49:11;03/04/2026
1,73;22:48:50;03/04/2026
26,38;22:48:25;03/04/2026
2,62;22:48:25;03/04/2026
2,48;22:47:29;03/04/2026
26,38;22:47:29;03/04/2026
2,48;22:47:05;03/04/2026
1,18;22:46:51;03/04/2026
3,44;22:46:23;03/04/2026
7,60;22:45:46;03/04/2026
1,04;22:45:33;03/04/2026
2,24;22:45:08;03/04/2026
3,42;22:44:39;03/04/2026
4,37;22:44:06;03/04/2026
5,18;22:44:06;03/04/2026
1,97;22:43:36;03/04/2026
4,37;22:43:36;03/04/2026
1,97;22:43:14;03/04/2026
1,17;22:42:57;03/04/2026
1,31;22:42:41;03/04/2026
7,02;22:42:12;03/04/2026
3,75;22:42:12;03/04/2026
7,02;22:41:36;03/04/2026
1,29;22:41:21;03/04/2026
2,71;22:40:55;03/04/2026
2,14;22:40:33;03/04/2026
1,59;22:40:07;03/04/2026
2,09;22:39:43;03/04/2026
1,13;22:39:03;03/04/2026
9,78;22:39:03;03/04/2026
1,13;22:38:49;03/04/2026
1,66;22:38:29;03/04/2026
4,89;22:37:56;03/04/2026
11,42;22:37:14;03/04/2026
1,30;22:36:58;03/04/2026
23,48;22:36:07;03/04/2026
2,82;22:35:41;03/04/2026
1,07;22:35:27;03/04/2026
1,11;22:35:13;03/04/2026
1,86;22:34:53;03/04/2026
1,03;22:34:40;03/04/2026
26,12;22:33:47;03/04/2026
1,40;22:33:29;03/04/2026
1,00;22:33:16;03/04/2026
3,39;22:32:45;03/04/2026
1,70;22:32:27;03/04/2026
9,41;22:32:12;03/04/2026
1,09;22:32:12;03/04/2026
9,41;22:31:32;03/04/2026
3,27;22:31:04;03/04/2026
38,25;22:30:06;03/04/2026
1,00;22:29:51;03/04/2026
1,19;22:29:34;03/04/2026
1,26;22:29:34;03/04/2026
1,19;22:29:19;03/04/2026
2,11;22:28:55;03/04/2026
59,77;22:27:53;03/04/2026
2,61;22:27:27;03/04/2026
1,17;22:26:58;03/04/2026
3,52;22:26:58;03/04/2026
1,17;22:26:44;03/04/2026
7,10;22:26:23;03/04/2026
1,72;22:26:23;03/04/2026
7,10;22:25:46;03/04/2026
1269,62;22:25:23;03/04/2026
2,01;22:25:23;03/04/2026
1269,62;22:23:44;03/04/2026
1,52;22:23:26;03/04/2026
1,08;22:23:12;03/04/2026
1,37;22:22:56;03/04/2026
1,58;22:22:33;03/04/2026
13,60;22:21:48;03/04/2026
2,09;22:21:31;03/04/2026
1,32;22:21:31;03/04/2026
2,09;22:21:09;03/04/2026
3,56;22:20:40;03/04/2026
8,18;22:20:00;03/04/2026
2,31;22:19:37;03/04/2026
1,16;22:19:23;03/04/2026
1,45;22:19:06;03/04/2026
1,25;22:18:50;03/04/2026
4,62;22:18:18;03/04/2026
1,61;22:17:59;03/04/2026
1,51;22:17:59;03/04/2026
1,61;22:17:39;03/04/2026
1,36;22:17:23;03/04/2026
2,59;22:16:58;03/04/2026
1,61;22:16:35;03/04/2026
1,36;22:16:16;03/04/2026
5,64;22:15:36;03/04/2026
2,14;22:15:14;03/04/2026
1,93;22:15:14;03/04/2026
3,90;22:14:48;03/04/2026
2,14;22:14:48;03/04/2026
2,69;22:14:18;03/04/2026
3,90;22:14:18;03/04/2026
2,69;22:13:53;03/04/2026
1,00;22:13:40;03/04/2026
2,10;22:13:17;03/04/2026
1,00;22:13:03;03/04/2026
3,49;22:12:33;03/04/2026
1,03;22:12:18;03/04/2026
28,02;22:11:24;03/04/2026
14,03;22:10:39;03/04/2026
5,60;22:10:13;03/04/2026
2,89;22:10:13;03/04/2026
5,60;22:09:39;03/04/2026
1,82;22:09:14;03/04/2026
9,32;22:08:33;03/04/2026
10,85;22:07:51;03/04/2026
1,01;22:07:35;03/04/2026
4,82;22:06:59;03/04/2026
5,49;22:06:59;03/04/2026
4,82;22:06:26;03/04/2026
2,69;22:05:58;03/04/2026
3,73;22:05:29;03/04/2026
2,83;22:04:57;03/04/2026
18,79;22:04:08;03/04/2026
1,16;22:03:51;03/04/2026
6,49;22:03:16;03/04/2026
6,85;22:02:39;03/04/2026
1,43;22:02:21;03/04/2026
2,02;22:01:58;03/04/2026
2,00;22:01:32;03/04/2026
2,37;22:01:32;03/04/2026
41,43;22:01:10;03/04/2026
2,00;22:01:10;03/04/2026
41,43;22:00:12;03/04/2026
3,76;21:59:42;03/04/2026
15,23;21:59:25;03/04/2026
1,36;21:59:25;03/04/2026
15,23;21:58:38;03/04/2026
8,89;21:57:59;03/04/2026
11,29;21:57:16;03/04/2026
19,33;21:56:27;03/04/2026
3,22;21:56:01;03/04/2026
1,55;21:55:41;03/04/2026
15,31;21:55:27;03/04/2026
1,10;21:55:27;03/04/2026
15,31;21:54:41;03/04/2026
1,87;21:54:19;03/04/2026
1,11;21:54:05;03/04/2026
1,14;21:53:51;03/04/2026
1,23;21:53:35;03/04/2026
2,99;21:53:09;03/04/2026
3,99;21:52:34;03/04/2026
6,00;21:52:34;03/04/2026
3,99;21:52:04;03/04/2026
4,28;21:51:34;03/04/2026
4,16;21:51:00;03/04/2026
1,31;21:50:44;03/04/2026
7,63;21:50:06;03/04/2026
7,20;21:49:45;03/04/2026
1,44;21:49:45;03/04/2026
7,20;21:49:07;03/04/2026
1,12;21:48:28;03/04/2026
1,25;21:47:45;03/04/2026
3,53;21:47:06;03/04/2026
1,18;21:46:30;03/04/2026
2,49;21:45:51;03/04/2026
2,15;21:45:08;03/04/2026
9,98;21:45:08;03/04/2026
2,15;21:44:37;03/04/2026
1,06;21:44:11;03/04/2026
2,51;21:43:36;03/04/2026
5,51;21:43:00;03/04/2026
9,55;21:42:16;03/04/2026
1,00;21:41:53;03/04/2026
1,54;21:41:24;03/04/2026
3,33;21:40:57;03/04/2026
2,14;21:40:20;03/04/2026
40,80;21:39:23;03/04/2026
11,86;21:38:38;03/04/2026
15,82;21:38:10;03/04/2026
2,30;21:38:10;03/04/2026
15,82;21:37:24;03/04/2026
3,07;21:36:55;03/04/2026
1,53;21:36:28;03/04/2026
2,85;21:36:02;03/04/2026
1,57;21:35:34;03/04/2026
3,91;21:35:03;03/04/2026
4,85;21:34:26;03/04/2026
6,56;21:33:55;03/04/2026
1,88;21:33:55;03/04/2026
6,56;21:33:17;03/04/2026
2,37;21:32:53;03/04/2026
2,57;21:32:25;03/04/2026
1,34;21:31:52;03/04/2026
3,45;21:31:20;03/04/2026
3,37;21:30:53;03/04/2026
1,18;21:30:31;03/04/2026
2,56;21:30:07;03/04/2026
1,41;21:29:45;03/04/2026
1,01;21:29:25;03/04/2026
2,20;21:28:59;03/04/2026
57,91;21:27:57;03/04/2026
2,96;21:27:28;03/04/2026
1,11;21:27:06;03/04/2026
20,25;21:26:16;03/04/2026
1,46;21:25:53;03/04/2026
1,17;21:25:33;03/04/2026
1,16;21:25:19;03/04/2026
36,22;21:24:24;03/04/2026
2,35;21:24:01;03/04/2026
1,38;21:23:41;03/04/2026
2,68;21:23:17;03/04/2026
1,72;21:22:46;03/04/2026
1,00;21:22:26;03/04/2026
5,63;21:21:52;03/04/2026
1,26;21:21:33;03/04/2026
2,87;21:21:02;03/04/2026
5,02;21:20:28;03/04/2026
1,06;21:20:00;03/04/2026
2,97;21:20:00;03/04/2026
1,06;21:19:40;03/04/2026
1,15;21:19:22;03/04/2026
1,06;21:19:03;03/04/2026
2,67;21:18:38;03/04/2026
98,90;21:17:30;03/04/2026
1,85;21:17:07;03/04/2026
1,49;21:16:44;03/04/2026
2,85;21:16:16;03/04/2026
2,89;21:15:48;03/04/2026
1,88;21:15:28;03/04/2026
1,11;21:15:13;03/04/2026
2,73;21:14:48;03/04/2026
1,89;21:14:24;03/04/2026
2,66;21:13:54;03/04/2026
1,00;21:13:38;03/04/2026
26,26;21:12:47;03/04/2026
1,01;21:12:28;03/04/2026
1,29;21:12:07;03/04/2026
2,71;20:23:07;04/04/2026
2,66;20:22:41;04/04/2026
1,01;20:22:27;04/04/2026
2,29;20:22:06;04/04/2026
19,13;20:21:18;04/04/2026
1,68;20:20:58;04/04/2026
1,08;20:20:45;04/04/2026
2,41;20:20:19;04/04/2026
13,89;20:19:35;04/04/2026
83,98;20:18:29;04/04/2026
1,10;20:18:15;04/04/2026
2,80;20:17:50;04/04/2026
1,23;20:17:35;04/04/2026
2,84;20:17:10;04/04/2026
2,07;20:16:50;04/04/2026
4,82;20:16:19;04/04/2026
1,29;20:16:03;04/04/2026
51,44;20:15:02;04/04/2026
3,70;20:14:33;04/04/2026
1,29;20:14:18;04/04/2026
1,14;20:14:03;04/04/2026
1,65;20:13:44;04/04/2026
6,84;20:13:07;04/04/2026
1,59;20:12:50;04/04/2026
3,23;20:12:22;04/04/2026
1,60;20:12:02;04/04/2026
12,08;20:11:17;04/04/2026
1,42;20:11:01;04/04/2026
1,13;20:10:48;04/04/2026
1,07;20:10:32;04/04/2026
1,00;20:10:15;04/04/2026
17,40;20:09:28;04/04/2026
11,20;20:08:47;04/04/2026
1,36;20:08:30;04/04/2026
3,64;20:08:01;04/04/2026
1,07;20:07:47;04/04/2026
1,14;20:07:34;04/04/2026
1,49;20:07:16;04/04/2026
1,52;20:06:54;04/04/2026
1,02;20:06:42;04/04/2026
18,11;20:05:53;04/04/2026
1,35;20:05:37;04/04/2026
13,02;20:04:53;04/04/2026
7,45;20:04:16;04/04/2026
17,36;20:03:30;04/04/2026
1,19;20:03:16;04/04/2026
2,53;20:02:53;04/04/2026
3,68;20:02:24;04/04/2026
11,01;20:01:42;04/04/2026
1,10;20:01:28;04/04/2026
2,69;20:01:03;04/04/2026
2,54;20:01:03;04/04/2026
2,69;20:00:39;04/04/2026
2,98;20:00:12;04/04/2026
1,00;20:00:00;04/04/2026
1,50;19:59:41;04/04/2026
1,30;19:59:24;04/04/2026
1,01;19:59:11;04/04/2026
8,30;19:58:32;04/04/2026
2,24;19:58:08;04/04/2026
118,63;19:56:59;04/04/2026
1,26;19:56:44;04/04/2026
5,41;19:56:12;04/04/2026
2,53;19:55:49;04/04/2026
1,88;19:55:29;04/04/2026
1,63;19:55:10;04/04/2026
1,81;19:54:51;04/04/2026
1,49;19:54:32;04/04/2026
2,63;19:54:07;04/04/2026
8,83;19:53:18;04/04/2026
19,99;19:53:18;04/04/2026
8,83;19:52:40;04/04/2026
1,46;19:52:23;04/04/2026
6,17;19:51:48;04/04/2026
1,02;19:51:35;04/04/2026
1,79;19:51:15;04/04/2026
1,88;19:50:53;04/04/2026
8,65;19:50:15;04/04/2026
21,57;19:49:25;04/04/2026
2,07;19:49:02;04/04/2026
6,98;19:48:27;04/04/2026
2,08;19:48:04;04/04/2026
8,51;19:47:27;04/04/2026
1,18;19:47:13;04/04/2026
5,62;19:46:41;04/04/2026
2,27;19:46:19;04/04/2026
2,06;19:45:58;04/04/2026
1,38;19:45:40;04/04/2026
2,08;19:45:20;04/04/2026
4,11;19:44:51;04/04/2026
1,19;19:44:38;04/04/2026
1,78;19:44:19;04/04/2026
2,10;19:43:58;04/04/2026
8,86;19:43:20;04/04/2026
11,53;19:42:38;04/04/2026
62,29;19:41:36;04/04/2026
2,13;19:41:14;04/04/2026
1,91;19:40:54;04/04/2026
1,36;19:40:38;04/04/2026
3,38;19:40:12;04/04/2026
1,15;19:39:59;04/04/2026
1,09;19:39:45;04/04/2026
4,53;19:39:15;04/04/2026
4,36;19:38:46;04/04/2026
1,27;19:38:32;04/04/2026
1,00;19:38:20;04/04/2026
1,43;19:38:02;04/04/2026
1,58;19:37:43;04/04/2026
5,00;19:37:12;04/04/2026
5,27;19:36:40;04/04/2026
1,27;19:36:25;04/04/2026
3,04;19:36:00;04/04/2026
1,45;19:35:43;04/04/2026
1,71;19:35:20;04/04/2026
9,37;19:34:42;04/04/2026
4,83;19:34:11;04/04/2026
9,86;19:33:31;04/04/2026
1,22;19:33:17;04/04/2026
1,45;19:33:01;04/04/2026
1,93;19:32:41;04/04/2026
1,05;19:32:28;04/04/2026
1,22;19:32:13;04/04/2026
16,42;19:31:28;04/04/2026
2,48;19:31:04;04/04/2026
7,98;19:30:26;04/04/2026
3,15;19:30:14;04/04/2026
1,00;19:30:14;04/04/2026
3,15;19:29:49;04/04/2026
1,06;19:29:36;04/04/2026
4,93;19:29:02;04/04/2026
3,43;19:28:33;04/04/2026
139,54;19:27:22;04/04/2026
2,00;19:27:01;04/04/2026
1,74;19:26:42;04/04/2026
1,03;19:26:31;04/04/2026
2,08;19:26:10;04/04/2026
1,41;19:25:54;04/04/2026
1,16;19:25:40;04/04/2026
6,71;19:25:06;04/04/2026
5,85;19:24:32;04/04/2026
1,27;19:24:17;04/04/2026
1,10;19:24:04;04/04/2026
1,00;19:23:51;04/04/2026
2,28;19:23:28;04/04/2026
1,44;19:23:11;04/04/2026
1,59;19:22:48;04/04/2026
2,49;19:22:48;04/04/2026
1,59;19:22:30;04/04/2026
8,18;19:21:51;04/04/2026
3,79;19:21:24;04/04/2026
1,02;19:21:13;04/04/2026
45,39;19:20:13;04/04/2026
15,81;19:19:29;04/04/2026
10,20;19:18:48;04/04/2026
1,58;19:18:31;04/04/2026
1,10;19:18:17;04/04/2026
1,41;19:18:01;04/04/2026
2,20;19:17:40;04/04/2026
11,29;19:16:58;04/04/2026
2,06;19:16:38;04/04/2026
1,62;19:16:19;04/04/2026
3,66;19:15:51;04/04/2026
1,66;19:15:32;04/04/2026
30,25;19:14:39;04/04/2026
4,85;19:14:09;04/04/2026
13,95;19:13:26;04/04/2026
1,32;19:13:12;04/04/2026
1,01;19:13:01;04/04/2026
1,17;19:12:48;04/04/2026
1,00;19:12:36;04/04/2026
1,25;19:12:22;04/04/2026
6,70;19:11:47;04/04/2026
1,08;19:11:35;04/04/2026
1,58;19:11:18;04/04/2026
3,59;19:10:52;04/04/2026
1,41;19:10:36;04/04/2026
1,48;19:10:19;04/04/2026
1,23;19:10:05;04/04/2026
2,23;19:09:42;04/04/2026
1,11;19:09:28;04/04/2026
1,03;19:09:16;04/04/2026
1,34;19:08:59;04/04/2026
1,55;19:08:42;04/04/2026
7,71;19:08:05;04/04/2026
6,59;19:07:31;04/04/2026
6,23;19:06:58;04/04/2026
1,47;19:06:42;04/04/2026
1,99;19:06:22;04/04/2026
1,03;19:06:10;04/04/2026
1,05;19:05:57;04/04/2026
1,74;19:05:39;04/04/2026
1,85;19:05:20;04/04/2026
1,08;19:05:07;04/04/2026
1,15;19:04:53;04/04/2026
1,42;19:04:37;04/04/2026
2,57;19:04:14;04/04/2026
2,79;19:03:50;04/04/2026
1,43;19:03:38;04/04/2026
1,04;19:03:38;04/04/2026
1,43;19:03:22;04/04/2026
1,71;19:03:02;04/04/2026
1,80;19:02:43;04/04/2026
4,29;19:02:13;04/04/2026
1,53;19:01:54;04/04/2026
44,90;19:00:54;04/04/2026
3,82;19:00:26;04/04/2026
4,44;18:59:55;04/04/2026
1,01;18:59:42;04/04/2026
1,08;18:59:30;04/04/2026
36,83;18:58:34;04/04/2026
1,22;18:58:20;04/04/2026
3,36;18:57:53;04/04/2026
1,01;18:57:42;04/04/2026
1,89;18:57:22;04/04/2026
1,16;18:57:09;04/04/2026
1,03;18:56:55;04/04/2026
1,21;18:56:40;04/04/2026
1,97;18:56:19;04/04/2026
1,00;18:56:07;04/04/2026
2,44;18:55:44;04/04/2026
2,73;18:55:19;04/04/2026
1,41;18:55:01;04/04/2026
4,47;18:54:31;04/04/2026
9,69;18:53:52;04/04/2026
